V Num	DTest Time	
31700.000000	142.096370	
31800.000000	142.546537	
31900.000000	142.996705	
32000.000000	143.447141	
32100.000000	143.897558	
32200.000000	144.347525	
32300.000000	144.797726	
32400.000000	145.247815	
32500.000000	145.698121	
32600.000000	146.147877	
32700.000000	146.597964	
32800.000000	147.047762	
32900.000000	147.497780	
33000.000000	147.947776	
33100.000000	148.397915	
33200.000000	148.848060	
33300.000000	149.298103	
33400.000000	149.748114	
33500.000000	150.198146	
33600.000000	150.648440	
33700.000000	151.098295	
33800.000000	151.548341	
33900.000000	151.998401	
34000.000000	152.448637	
34100.000000	152.898800	
34200.000000	153.348678	
34300.000000	153.798692	
34400.000000	154.248580	
34500.000000	154.698600	
34600.000000	155.148685	
34700.000000	155.598740	
34800.000000	156.048749	
34900.000000	156.498896	
35000.000000	156.943268	
35100.000000	157.387766	
35200.000000	157.831997	
35300.000000	158.276307	
35400.000000	158.720675	
35500.000000	159.164877	
35600.000000	159.609441	
35700.000000	160.053803	
35800.000000	160.498382	
35900.000000	160.949767	
36000.000000	161.394263	
36100.000000	161.838548	
36200.000000	162.282946	
36300.000000	162.727414	
36400.000000	163.171652	
36500.000000	163.616314	
36600.000000	164.060786	
36700.000000	164.505528	
36800.000000	164.950284	
36900.000000	165.394638	
37000.000000	165.839026	
37100.000000	166.283501	
37200.000000	166.727676	
37300.000000	167.172263	
37400.000000	167.617139	
37500.000000	168.061584	
37600.000000	168.506522	
37700.000000	168.950954	
37800.000000	169.395926	
37900.000000	169.840562	
38000.000000	170.285154	
38100.000000	170.729972	
38200.000000	171.174428	
38300.000000	171.619169	
38400.000000	172.063993	
38500.000000	172.509202	
38600.000000	172.953773	
38700.000000	173.398689	
38800.000000	173.843430	
38900.000000	174.287718	
39000.000000	174.732679	
39100.000000	175.177063	
39200.000000	175.621873	
39300.000000	176.066315	
39400.000000	176.511382	
39500.000000	176.955924	
39600.000000	177.402749	
39700.000000	177.847459	
39800.000000	178.292059	
39900.000000	178.737154	
40000.000000	179.181654	
40100.000000	179.626817	
40200.000000	180.071192	
40300.000000	180.516069	
40400.000000	180.960388	
40500.000000	181.405566	
40600.000000	181.850285	
40700.000000	182.294726	
40800.000000	182.739471	
40900.000000	183.184158	
41000.000000	183.628900	
41100.000000	184.073416	
41200.000000	184.518147	
41300.000000	184.962496	
41400.000000	185.407249	
41500.000000	185.851958	
41600.000000	186.296296	
41700.000000	186.741036	
41800.000000	187.185513	
41900.000000	187.630250	
42000.000000	188.074676	
42100.000000	188.519649	
42200.000000	188.964069	
42300.000000	189.408852	
42400.000000	189.853937	
42500.000000	190.298140	
42600.000000	190.743036	
42700.000000	191.194427	
42800.000000	191.639461	
42900.000000	192.083869	
43000.000000	192.528648	
43100.000000	192.973261	
43200.000000	193.417921	
43300.000000	193.862623	
43400.000000	194.307289	
43500.000000	194.752254	
43600.000000	195.196572	
43700.000000	195.641315	
43800.000000	196.085847	
43900.000000	196.530348	
44000.000000	196.974860	
44100.000000	197.419591	
44200.000000	197.864370	
44300.000000	198.308838	
44400.000000	198.753675	
44500.000000	199.198023	
44600.000000	199.642730	
44700.000000	200.087600	
44800.000000	200.532579	
44900.000000	200.977095	
45000.000000	201.421691	
45100.000000	201.866435	
45200.000000	202.310869	
45300.000000	202.755743	
45400.000000	203.200127	
45500.000000	203.644940	
45600.000000	204.089315	
45700.000000	204.534425	
45800.000000	204.978482	
45900.000000	205.423000	
46000.000000	205.867664	
46100.000000	206.311696	
46200.000000	206.756286	
46300.000000	207.200405	
46400.000000	207.644907	
46500.000000	208.088861	
46600.000000	208.533041	
